trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,4,64,6,4,192,0.10921219078933664,0.0016074329893155078,1024,0.8875603622067676,0.15048974331462903,0.5349693251533743,0.04995933099486554,0.045510985
1,7,16,6,4,64,0.020822000307935174,0.0028486314069372364,4096,0.8879757244400449,0.15217224825518116,0.5355828220858896,0.049241268872960195,0.061062373
2,8,32,6,8,128,0.021598111272382828,0.0027283248678430837,2048,0.885147575625169,0.15447937069471654,0.5325153374233129,0.04988307661023842,0.05269433
3,7,32,5,8,192,0.2445441024198432,0.0008679699823448334,2048,0.8889140471180365,0.15324190042339064,0.5374233128834356,0.04994026739870876,0.0614458
4,8,32,4,8,64,0.3905006352720487,0.0005398119470001521,2048,0.8887735846702801,0.15283285171336425,0.5343558282208589,0.049616186264043516,0.060525853
5,1,32,2,8,64,0.22966809763672844,0.00047538559436333984,8192,0.7822918684133131,0.04620403142288567,0.3098159509202454,0.04990849473844746,0.0070756883
6,1,64,5,4,64,0.05678444686817961,0.0007597551895234401,8192,0.8659451894710941,0.11462037072601328,0.47914110429447854,0.0499656855269178,0.034619402
7,1,16,6,8,192,0.21413103455946816,0.0008672103967995518,4096,0.8383260248417761,0.09047092161363757,0.41840490797546015,0.049902140206395204,0.031864006
8,2,32,6,4,64,0.30283293465894623,0.0010312844904821765,2048,0.884773693282098,0.1411811162296104,0.5085889570552147,0.04979411316150679,0.057831377
9,1,64,4,4,64,0.39623914417738987,0.0009010210681026873,2048,0.8778118083111354,0.12904207824364353,0.5085889570552147,0.0498703675461339,0.059186473
10,3,48,3,8,256,0.13562158193838697,0.0003211104533479566,1024,0.8853848842601906,0.14049052369680065,0.5159509202453988,0.04992120380255198,0.028712125
11,1,16,5,4,192,0.274408402993213,0.0029585490570328585,4096,0.8602495541691499,0.10319837573303903,0.456441717791411,0.049902140206395204,0.119991094
12,1,16,5,4,128,0.14827061156458266,0.0015866900997377842,4096,0.8623932399630361,0.1103904582385998,0.4625766871165644,0.04995297646281328,0.034888923
13,2,48,5,8,256,0.295235491555463,0.001540938951537805,4096,0.8837137963206402,0.13789758329742235,0.5141104294478528,0.0499339128666565,0.04240922
14,2,16,5,8,192,0.009122670125054994,0.0021588256195271974,2048,0.8832009699900791,0.14035375780028336,0.5042944785276073,0.04989578567434294,0.04603991
15,1,32,3,4,192,0.17720841405882704,0.0012250443339894821,4096,0.8696307868735171,0.12450993640655014,0.47914110429447854,0.04951451375120736,0.0932959
16,1,16,6,4,256,0.08960212120674128,0.0006148183353330196,8192,0.7409755898643108,0.03408531882574894,0.23742331288343557,0.04976869503329775,0.015870858
17,2,48,4,8,128,0.3390945900054788,0.0003926223454826893,1024,0.8828359800933953,0.14004306166604247,0.5110429447852761,0.04997839459102232,0.062116075
18,3,32,4,4,64,0.1777716877058309,0.002059503073727488,2048,0.8862133709958261,0.1509850997434137,0.5288343558282208,0.049800467693559045,0.033790067
19,1,16,5,8,192,0.253600703457452,0.000700318572872586,4096,0.7398200766878963,0.04259891493876524,0.26625766871165646,0.04908876010370596,0.0145097
20,1,16,3,8,192,0.0651720446215773,0.0012247181678158414,4096,0.7831122034148865,0.06075281037007919,0.3294478527607362,0.04979411316150679,0.025538394
21,2,64,6,4,192,0.11422745017485095,0.0023043850668609048,1024,0.8819513220233579,0.1349129586329133,0.5098159509202455,0.04998474912307458,0.034591567
22,2,64,6,4,192,0.04048775795830027,0.0017200672761088934,1024,0.8845891155676523,0.14136692554565386,0.507361963190184,0.04989578567434294,0.0492239
23,2,64,6,4,192,0.0837135970887388,0.0012072273185545358,1024,0.8837271271932491,0.13321084013516382,0.50920245398773,0.049902140206395204,0.07170171
24,1,64,5,4,192,0.1099139329667469,0.0024600023494840244,1024,0.8745621006196098,0.1286007407369008,0.48895705521472393,0.04992755833460424,0.042442665
25,3,64,6,4,64,0.1802615521537775,0.001954804870581657,1024,0.8863723941350554,0.14927445070273918,0.5220858895705521,0.0498703675461339,0.039668936
26,1,32,5,4,128,0.14760664340395718,0.0014230544702063224,2048,0.8751828974670133,0.1242466327728189,0.48773006134969327,0.0498703675461339,0.050486155
27,1,48,6,4,256,0.002561325540017343,0.0009656410176744498,8192,0.8325202670587608,0.08203769440546699,0.40797546012269936,0.04974963143714097,0.03205113
28,1,16,6,8,192,0.24083822371913952,0.0019441480630580652,4096,0.8525187162410611,0.09076694754807224,0.4466257668711656,0.049603477199938996,0.100046806
29,3,32,5,8,128,0.032094699544520267,0.0025337747916219524,2048,0.886770680999996,0.15050232582148698,0.5294478527607362,0.04981953128971583,0.05971486
30,1,64,6,4,64,0.34553433097724184,0.0028386540371108373,1024,0.8842218859908064,0.13447783274654984,0.5085889570552147,0.049889431142290684,0.02912162
31,1,32,4,8,64,0.3977256936948932,0.0005591161980294573,2048,0.8710160105358922,0.11188299910465391,0.46319018404907975,0.04990849473844746,0.042870812
32,1,32,4,8,64,0.3554178189042091,0.0004541441644041874,2048,0.8207640241013755,0.0658904299169854,0.3754601226993865,0.049864013014081644,0.010593864
33,1,32,2,8,64,0.3133029135715173,0.0006991667821490668,2048,0.8618986078662713,0.10538945932932109,0.46503067484662575,0.04972421330893193,0.031393282
34,1,32,3,8,64,0.2108016022329457,0.0004899270645236884,2048,0.8664099630641849,0.11265856688971213,0.4662576687116564,0.04995297646281328,0.06227085
35,1,32,4,8,64,0.0730354101279401,0.000788661694933038,8192,0.824421462739987,0.07423218497752983,0.38834355828220857,0.04972421330893193,0.032033682
36,2,32,5,8,64,0.3680930691325473,0.0010939135861833377,2048,0.8815455617609056,0.13468322129942245,0.5147239263803681,0.049825885821768084,0.06878258
37,2,64,4,8,192,0.04672472021486211,0.0003150776800090717,2048,0.8794005329386194,0.13403456528489405,0.49877300613496933,0.04954628641146866,0.032141194
38,1,32,6,4,64,0.27586361849922814,0.0003761233836424548,8192,0.8010931296046967,0.06391417220626297,0.3595092024539877,0.04995297646281328,0.018400157
39,1,16,5,4,192,0.11289030573387124,0.0008326992645324752,4096,0.872140021996817,0.12085606684115642,0.47791411042944787,0.049864013014081644,0.024464652
40,2,48,6,8,256,0.19830096328106342,0.0005843233301206024,2048,0.8838386940633545,0.13953871991760183,0.505521472392638,0.04971785877687967,0.032858565
