trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
92,1,48,2,8,128,0.2777272100118396,0.0026055686036305444,8192,0.8445234264697214,0.09018017496704554,0.4226993865030675,0.0499656855269178,0.026335819
93,2,48,6,8,128,0.16326335463319408,0.0008267152216773272,2048,0.8671113201739161,0.11369082071136295,0.4785276073619632,0.049876722078186164,0.0509462
94,2,48,5,8,128,0.09115014706000732,0.0013034053778575563,1024,0.8680872184084634,0.11562016012541795,0.4699386503067485,0.04997839459102232,0.023550835
0,8,64,2,8,64,0.12265971183481668,0.0029477274072348333,1024,0.8732663491583793,0.12376020987905618,0.48711656441717793,0.04975598596919323,0.044372577
1,7,64,5,8,128,0.06489678989082219,0.000576801075659192,2048,0.8718710635038407,0.1199660282157471,0.48466257668711654,0.049679731584566116,0.038264867
2,7,32,3,8,64,0.2786973112429146,0.0005018779605023393,4096,0.8679913858275379,0.11804167860776277,0.48466257668711654,0.04994026739870876,0.04319626
3,7,32,2,4,192,0.18299518928195468,0.001595738612840142,8192,0.8729590899904658,0.12522852912862353,0.4865030674846626,0.04997204005897006,0.036856584
4,8,16,4,8,256,0.31643704794489175,0.0012327050618758015,8192,0.8673707176301695,0.1221101514425667,0.4815950920245399,0.04983224035382035,0.05407226
5,1,16,3,8,192,0.08003745790222966,0.0016641598508921182,8192,0.7828890755224049,0.05176636773719657,0.3226993865030675,0.04959712266788674,0.033511665
6,4,48,5,8,64,0.19538111928106125,0.0015010567774343768,1024,0.8712139444631052,0.11953057411174484,0.48957055214723927,0.04995933099486554,0.034146592
7,2,16,4,4,128,0.11918060439779095,0.0003038163716189255,1024,0.8575093785875816,0.10286824980232498,0.45521472392638035,0.04971150424482741,0.03850105
8,1,32,4,8,64,0.04545367694216043,0.0015779939374404148,8192,0.7721305837624006,0.04704416520541263,0.2889570552147239,0.04969244064867063,0.01610465
9,1,16,5,8,128,0.3423089467479934,0.0010240101388418964,4096,0.7771208893974594,0.05681461760098042,0.3177914110429448,0.049590768135834476,0.023545308
10,2,48,6,4,256,0.23492728287987533,0.00290078502235175,1024,0.866011255162765,0.10767183575961922,0.46932515337423314,0.049902140206395204,0.03283835
11,8,64,2,8,64,0.14825059841604266,0.0024812855135714395,1024,0.8737819336677299,0.12620460927030308,0.4883435582822086,0.04959712266788674,0.03874625
12,2,48,6,8,64,0.1886965711859209,0.002192335070484475,1024,0.8702865726320674,0.11772943932681766,0.47730061349693254,0.049902140206395204,0.034578055
13,7,64,5,8,64,0.1491032906556703,0.0007960698656460197,1024,0.8739327349001503,0.12716520146678034,0.48773006134969327,0.04979411316150679,0.019968245
14,6,48,3,8,64,0.0005321162035354376,0.002065860800501606,2048,0.8734215829692927,0.1254558921166466,0.48588957055214727,0.049864013014081644,0.03799002
