trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,8,64,4,4,128,0.35272365850401455,0.00224739491012476,1024,0.8850358430694121,0.13582274536835826,0.5098159509202455,0.0499339128666565,0.038281742
1,7,32,2,8,64,0.24002893196980857,0.001454214485880287,8192,0.8855950633316836,0.125494598078405,0.5085889570552147,0.04991484927049972,0.06148582
2,8,64,2,4,192,0.16765351122938574,0.0020607843210729455,4096,0.8877716932808503,0.1410836171755647,0.5177914110429448,0.04990849473844746,0.056539208
3,8,16,3,4,192,0.0943695168571689,0.0004023920465678519,4096,0.8275009079573712,0.07970141826619373,0.4092024539877301,0.04997204005897006,0.023479467
4,4,64,4,4,64,0.0033520313953814274,0.0003509809335693396,1024,0.8871220573838415,0.13933967739950404,0.5104294478527608,0.04999745818717909,0.048313342
5,1,32,4,4,64,0.037705937844371595,0.0006598213555394098,8192,0.5743557829984223,0.013146009001279617,0.06932515337423313,0.049775049565350005,0.07731672
6,2,16,3,8,64,0.10702988787375732,0.0012039795927626625,4096,0.8603880810186464,0.1007080492078716,0.452760736196319,0.04992755833460424,0.0316096
7,4,32,3,8,256,0.04256923502333887,0.001665029967747405,8192,0.8816529747942613,0.13181270337907602,0.5049079754601227,0.0499339128666565,0.029434271
8,1,16,6,4,256,0.08265991721333639,0.000329036402376743,4096,0.5784426710491886,0.014446939514626445,0.09263803680981596,0.04999110365512684,0.318494
9,1,16,6,8,192,0.34924252009915474,0.00098471369270438,4096,0.7830133105225124,0.04780025692649857,0.2901840490797546,0.049813176757663565,0.010884751
10,3,48,2,4,192,0.20880096604186693,0.00264204402176857,2048,0.8774477228631853,0.1302011848768178,0.4901840490797546,0.04997839459102232,0.045527082
11,3,64,5,4,128,0.1617596747612427,0.000563765663747792,1024,0.8761850812428873,0.13396723846428255,0.5030674846625767,0.04997839459102232,0.044102974
12,8,64,5,4,64,0.2764112989108861,0.000675598449155163,1024,0.885149164258182,0.1386128939016371,0.5165644171779141,0.04992120380255198,0.047478773
13,3,64,5,4,192,0.27466393189393457,0.0006973417562043558,2048,0.881776800453347,0.12594462298743386,0.49938650306748467,0.049851303949977124,0.023624461
14,3,64,5,4,64,0.2865739814818255,0.0008563238083920769,1024,0.8833776435243187,0.12796041561934815,0.49141104294478527,0.04999745818717909,0.042488243
