trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,1,48,5,8,64,0.035656883690218646,0.0005040675535142114,8192,0.7970204477434534,0.05212708139092385,0.308472553699284,0.04989665977731849,0.035331838
0,2,48,5,8,64,0.035656883690218646,0.0005040675535142114,8192,0.8771917570956599,0.1277971191799645,0.47911694510739855,0.04987665844389626,0.027628332
0,3,48,5,8,64,0.035656883690218646,0.0005040675535142114,8192,0.8852669652917196,0.13144105064112094,0.49940334128878283,0.04990999399959997,0.027274292
0,4,48,5,8,64,0.035656883690218646,0.0005040675535142114,8192,0.8924851075990586,0.14923149469090743,0.5196897374701671,0.049929995333022205,0.062329736
0,5,48,5,8,64,0.035656883690218646,0.0005040675535142114,8192,0.8973167224672576,0.1608331042853166,0.5352028639618138,0.04984332288819254,0.039395493
0,6,48,5,8,64,0.035656883690218646,0.0005040675535142114,8192,0.897564684503231,0.16467456333528538,0.5363961813842482,0.049743316221081406,0.04592036
0,7,48,5,8,64,0.035656883690218646,0.0005040675535142114,8192,0.899577507633365,0.17060162408179208,0.5417661097852029,0.04982332155477032,0.065358534
0,8,48,5,8,64,0.035656883690218646,0.0005040675535142114,8192,0.8976426749850148,0.17105462323713222,0.5369928400954654,0.049783318887925865,0.052581716
1,1,16,2,4,64,0.21307899494417282,0.0006481065971850461,2048,0.738795376732355,0.03316816885337923,0.23389021479713604,0.049769984665644376,0.019566828
1,2,16,2,4,64,0.21307899494417282,0.0006481065971850461,2048,0.8483001372724768,0.10166627280201812,0.42422434367541767,0.04990999399959997,0.04773791
1,3,16,2,4,64,0.21307899494417282,0.0006481065971850461,2048,0.8643790791303351,0.12440060890687794,0.46002386634844866,0.04999666644442963,0.048728477
1,4,16,2,4,64,0.21307899494417282,0.0006481065971850461,2048,0.8777818023986006,0.12725424179396927,0.48448687350835323,0.04999666644442963,0.07356945
1,5,16,2,4,64,0.21307899494417282,0.0006481065971850461,2048,0.8854838154683662,0.13319065434605326,0.5,0.049889992666177746,0.07954423
1,6,16,2,4,64,0.21307899494417282,0.0006481065971850461,2048,0.8878190785511397,0.15649279640410307,0.5167064439140812,0.04986999133275552,0.057500362
1,7,16,2,4,64,0.21307899494417282,0.0006481065971850461,2048,0.8936549648258174,0.14886846342962068,0.5304295942720764,0.049916661110740716,0.09316033
1,8,16,2,4,64,0.21307899494417282,0.0006481065971850461,2048,0.8939615783454776,0.16041300113707435,0.529236276849642,0.049956663777585175,0.09271343
2,1,48,2,8,128,0.09605715963348743,0.0007756660485042539,1024,0.8947607048107105,0.15860353276122252,0.5178997613365155,0.04999666644442963,0.073411174
2,2,48,2,8,128,0.09605715963348743,0.0007756660485042539,1024,0.8978539042618752,0.17029486913083602,0.5369928400954654,0.04999666644442963,0.05873637
2,3,48,2,8,128,0.09605715963348743,0.0007756660485042539,1024,0.8988334763288117,0.1722081873995848,0.5375894988066826,0.049836655777051805,0.044602748
2,4,48,2,8,128,0.09605715963348743,0.0007756660485042539,1024,0.8993347209623044,0.17483330011692716,0.535799522673031,0.049783318887925865,0.050890967
2,5,48,2,8,128,0.09605715963348743,0.0007756660485042539,1024,0.900746869600376,0.17451448452136195,0.5405727923627685,0.049716647776518436,0.062094357
2,6,48,2,8,128,0.09605715963348743,0.0007756660485042539,1024,0.9015943186984144,0.17916108711944945,0.538782816229117,0.049836655777051805,0.05108343
2,7,48,2,8,128,0.09605715963348743,0.0007756660485042539,1024,0.8988108574780084,0.17664052857152648,0.5495226730310262,0.04992332822188146,0.0415814
2,8,48,2,8,128,0.09605715963348743,0.0007756660485042539,1024,0.900107336113577,0.17137448104364847,0.5429594272076372,0.04986999133275552,0.03277178
3,1,64,2,4,256,0.25381552633226395,0.0009911980817694133,1024,0.8738127191773006,0.14993195313217902,0.49821002386634844,0.04984998999933329,0.012782074
