trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,8,48,3,8,256,0.26844437869597826,0.0004475467240707045,4096,0.9012911580740228,0.17389095913750172,0.5507159904534606,0.04967664510967398,0.06774593
1,7,32,6,8,192,0.2568589685438923,0.00072525371181783,8192,0.8975123858694797,0.16639628885655494,0.5423627684964201,0.04994332955530369,0.057294063
2,6,32,5,4,64,0.2650666720504184,0.001070049543969361,4096,0.9008484853644181,0.17261338742817686,0.545346062052506,0.04996999799986666,0.08396484
3,8,16,3,4,128,0.2426505277674691,0.00030706737859516185,1024,0.9027944882085217,0.17587899638254464,0.545346062052506,0.04994332955530369,0.05301006
4,4,32,4,4,128,0.0648633036084311,0.0007487147075385387,4096,0.9005971678939295,0.17594977044434337,0.5501193317422435,0.049863324221614776,0.062948234
5,1,16,5,4,64,0.025271520369663094,0.0008534602533224832,8192,0.7278109630538614,0.028117066154512146,0.1760143198090692,0.04969664644309621,0.019865166
6,1,64,5,8,128,0.1575353295591646,0.002126581839041083,8192,0.7990890780944665,0.05358620271374458,0.29295942720763724,0.049783318887925865,0.010071482
7,3,16,2,8,256,0.2630729073161364,0.0004053851605868123,1024,0.8998717515933041,0.16971719327423654,0.5363961813842482,0.04968331222081472,0.066645615
8,7,48,2,8,128,0.31093416132465257,0.0012018453264884704,4096,0.9025782983782054,0.173255423662124,0.5572792362768496,0.049956663777585175,0.0649382
9,1,32,5,4,256,0.15479957772988673,0.0006004446259570614,8192,0.7781007596210472,0.047051756095925566,0.26252983293556087,0.04998999933328888,0.021283284
10,4,48,2,8,192,0.3811385549619597,0.0015901020678797998,2048,0.9028348807183805,0.17767119630174202,0.5584725536992841,0.04964330955397026,0.043546062
11,7,48,2,8,192,0.3996161989728821,0.0016148838177595607,2048,0.9018162487682154,0.1732415943733333,0.5531026252983293,0.049916661110740716,0.036756042
12,7,48,2,8,192,0.38837941969850337,0.0013345112916057576,2048,0.902780700495387,0.1772156598601004,0.5525059665871122,0.049916661110740716,0.06354042
13,5,48,3,8,128,0.34307919240201346,0.002701539233564765,2048,0.9022461262731756,0.1732368721975408,0.5483293556085919,0.04974998333222215,0.03318113
14,5,48,2,8,192,0.33997429966046055,0.0015362276625362026,2048,0.9018495823349242,0.16965600926323404,0.5513126491646778,0.049956663777585175,0.053236876
15,2,64,3,8,128,0.32700784889267764,0.0011654460606746173,4096,0.898277150457604,0.17156555425676784,0.5393794749403341,0.04986999133275552,0.034891948
16,2,48,4,8,192,0.31606687299517544,0.0019357954379912242,2048,0.9006893399098523,0.17145392879293775,0.5495226730310262,0.04993666244416294,0.06595173
17,2,48,2,8,64,0.20478999445059895,0.0029216544145139406,4096,0.8993355245162725,0.17395643252751627,0.5393794749403341,0.04946996466431095,0.04960558
18,4,48,4,8,128,0.3666064082389693,0.002067489901512798,1024,0.9026768192660736,0.17033940040997242,0.5531026252983293,0.04992332822188146,0.033556506
19,6,64,3,8,192,0.30438031162803164,0.0009959479235858062,2048,0.9033024039311452,0.16983617623815084,0.5590692124105012,0.04990332688845923,0.08100551
20,2,64,3,8,192,0.19827170240071157,0.0009232996854961692,2048,0.8986140643266433,0.1660764029729764,0.5369928400954654,0.04999666644442963,0.06598363
21,1,64,2,8,192,0.2992879844355906,0.0012443709733393736,2048,0.8985501320613101,0.15452833364755003,0.5369928400954654,0.04993666244416294,0.04327823
22,2,64,3,8,192,0.36359731188991806,0.001594211892976001,2048,0.8982223635911447,0.1708412812140323,0.5435560859188544,0.04984998999933329,0.058695976
23,1,64,2,8,192,0.3149499615085327,0.0010189702730874124,4096,0.8908960398473662,0.14246973395921797,0.5065632458233891,0.04992332822188146,0.07606718
24,3,48,3,8,192,0.30096570024260366,0.0013406486928066357,2048,0.9013941900024839,0.17304557719578614,0.5483293556085919,0.049663310887392495,0.052295692
25,1,48,2,8,128,0.3689691599373953,0.00061339326777525,2048,0.8899642832195178,0.14978058544524397,0.5041766109785203,0.04994332955530369,0.05665028
