trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,8,48,2,8,128,0.08226653945919771,0.0010557834903527142,1024,0.8874951463850276,0.14970322870836067,0.5263803680981595,0.04989578567434294,0.06487214
1,8,48,6,4,256,0.3844619502712867,0.0003535984371575111,1024,0.8837311718723928,0.1417147725787132,0.5177914110429448,0.04999110365512684,0.031438302
2,8,48,4,4,192,0.39885220246988795,0.0012849670601603963,4096,0.8887418178577476,0.15446351059058333,0.5300613496932516,0.049641604392252556,0.047920037
3,5,64,6,4,192,0.14549015344805696,0.0026060105080043237,8192,0.8856330287368314,0.15232021703855297,0.5288343558282208,0.04973056784098419,0.041256767
4,7,32,2,8,64,0.3446099917484944,0.0029374628488081623,8192,0.8871672310894584,0.1536201687672301,0.5300613496932516,0.0499656855269178,0.0591889
5,1,16,5,8,256,0.36281364664598936,0.0008264299160458931,1024,0.7738476816327982,0.038044723158181804,0.27300613496932513,0.04971150424482741,0.038565733
6,4,32,2,4,64,0.07449692903558668,0.0021081521377776086,4096,0.8839232541722376,0.1437182996440304,0.5245398773006135,0.04980682222561131,0.07021618
7,7,64,2,4,64,0.25588376670299884,0.00131658404497143,2048,0.8857414105439386,0.1504703417249046,0.5294478527607362,0.04898073305881755,0.044788644
8,1,64,6,8,256,0.1701884374356434,0.0012459677942625836,8192,0.7939590075764734,0.0731939755666445,0.37668711656441717,0.04984494941792486,0.040226113
9,4,48,2,8,256,0.33555469261861576,0.001568357308596191,1024,0.8844422186688822,0.14611013924854827,0.5312883435582823,0.049641604392252556,0.045246232
10,1,16,4,8,128,0.2806134188316446,0.0005372511396954737,2048,0.7094799287232023,0.02350559482957282,0.16503067484662576,0.04998474912307458,0.015925713
11,2,48,4,4,192,0.2936119280720433,0.0016690633117821916,4096,0.8750623406883727,0.13287702339778512,0.49570552147239266,0.04998474912307458,0.050008405
12,1,48,3,8,192,0.3985783501523208,0.0007324441543015624,4096,0.7916061231803038,0.05011428695408632,0.3214723926380368,0.0495399318794164,0.024957446
13,1,48,3,4,192,0.22647756878734504,0.0016647573105109405,1024,0.8814053761056497,0.12630929262360086,0.49877300613496933,0.049876722078186164,0.042067256
14,2,48,3,8,256,0.3179482917821703,0.0017661463558180596,4096,0.877243278464483,0.12177161557615125,0.49079754601226994,0.04992755833460424,0.07995005
15,6,48,5,4,192,0.01634487793995726,0.0006667003310850645,1024,0.8830504046160569,0.15184937866827813,0.5239263803680981,0.04988307661023842,0.045726135
16,1,48,5,4,256,0.32732467385017405,0.0010666358544271783,4096,0.8366334932804138,0.0697246362668114,0.4030674846625767,0.0499339128666565,0.024138007
17,1,16,3,8,128,0.23118811103907633,0.0022632837010374087,2048,0.8199218887665285,0.07361524140275527,0.3558282208588957,0.04994026739870876,0.03625538
18,3,32,4,8,256,0.39918425354163345,0.0013571445316644811,1024,0.8826400519371888,0.14436679357646567,0.5128834355828221,0.049628895328148036,0.052399535
19,1,48,3,4,192,0.34299524241570545,0.000526550531461915,4096,0.6810156561635219,0.01769147175336428,0.07423312883435583,0.049565350007625436,0.009279083
20,2,48,5,8,256,0.2942867038725787,0.0009986579630644787,4096,0.8738268617687337,0.12256822522557151,0.5,0.04999745818717909,0.044638302
21,1,32,2,8,64,0.36055817521984235,0.0027926385286341842,8192,0.8223516571528016,0.08911226160638132,0.39263803680981596,0.04979411316150679,0.033957046
22,1,32,2,8,64,0.33481863288196184,0.0029916973440880803,8192,0.8215556935359674,0.05714671758110656,0.33680981595092024,0.049775049565350005,0.032785486
23,1,32,2,8,64,0.3632184688534553,0.0019179522655690584,8192,0.5048192810069196,0.011036586187326804,0.0754601226993865,0.04973692237303645,0.005229506
24,2,32,3,8,64,0.25918759645349576,0.0023415279102066873,8192,0.8624392908279854,0.11860266620852644,0.4815950920245399,0.049787758629454525,0.05294039
25,1,32,4,8,64,0.3066604145345798,0.001460294337699407,8192,0.7334585897367524,0.0395792217222027,0.2920245398773006,0.049800467693559045,0.018324979
26,2,16,2,4,192,0.19472257019505515,0.001158509469085962,1024,0.8795150236731659,0.13477973440997082,0.498159509202454,0.04976869503329775,0.042551294
27,2,64,4,8,128,0.366805855344433,0.0008638726877756964,2048,0.8809122644183942,0.14124059001172287,0.5122699386503068,0.0499339128666565,0.041092597
28,1,48,3,4,64,0.26947926847931564,0.0015334561215430734,1024,0.8619047616262986,0.10453499037716844,0.4190184049079755,0.04999745818717909,0.05001965
29,3,48,2,8,128,0.11195466979420143,0.0020154021776602506,8192,0.8779960507557917,0.13680812871877868,0.5030674846625767,0.04938742311016217,0.03621439
30,1,32,2,8,256,0.3461529617498273,0.00034357267202853443,4096,0.7218666192298899,0.03065938115948113,0.23558282208588957,0.049679731584566116,0.01577112
31,2,64,2,4,64,0.25008778347475646,0.001293416743424337,2048,0.8820877164010551,0.13425690824077444,0.5085889570552147,0.04997204005897006,0.039901808
32,3,64,2,4,64,0.3750219298166795,0.0011298331172447224,2048,0.8848214653285815,0.1391866315251708,0.5165644171779141,0.04997839459102232,0.033382062
33,4,64,2,4,64,0.3091601348568384,0.002541824406228297,2048,0.8848823869680789,0.1447570233877644,0.5184049079754601,0.049902140206395204,0.026063567
34,5,64,3,4,192,0.392716584747295,0.0014419065633203736,2048,0.8844724709196341,0.14950885903084452,0.5239263803680981,0.049838594885872604,0.067231484
35,2,64,6,4,64,0.23143492668899782,0.0019027720634271104,1024,0.8746528632195942,0.10964286433935556,0.4834355828220859,0.04988307661023842,0.035165265
36,6,48,2,4,256,0.2010355747913223,0.0008374841000571143,1024,0.886684368521691,0.14905799020271143,0.5294478527607362,0.04976869503329775,0.031070333
37,1,16,2,4,64,0.3450864243430348,0.000996011821545863,2048,0.7978821026904854,0.06719631948659434,0.3852760736196319,0.04979411316150679,0.029472115
38,1,64,3,4,192,0.3817037956665897,0.0012292142270652767,8192,0.8035408739095545,0.06758207622662721,0.37116564417177916,0.04999110365512684,0.037339713
39,1,48,5,8,256,0.2851275816246797,0.00046297239741050953,4096,0.8111106634349777,0.05162831455936255,0.34846625766871164,0.04973692237303645,0.015489171
40,2,32,4,8,128,0.14987989219946593,0.0016107263557050202,1024,0.8731983439699623,0.133683855540305,0.5024539877300613,0.04999110365512684,0.052805472
41,2,48,2,4,256,0.20720286760749002,0.0007885353867775705,1024,0.8724755666293347,0.1349741349636046,0.49938650306748467,0.04995933099486554,0.06261403
42,2,48,2,4,256,0.1843267985495506,0.0006692926376618287,1024,0.8795579752418075,0.13129192543375975,0.4938650306748466,0.04973692237303645,0.019550323
43,2,48,2,4,256,0.14761676488142117,0.0009011280285046745,1024,0.8824147564865348,0.13661841330817082,0.5128834355828221,0.04979411316150679,0.04686159
44,2,48,3,4,256,0.16676703022377737,0.0007552599204052864,1024,0.8792127604149611,0.1366202360637148,0.5104294478527608,0.04990849473844746,0.022437084
45,2,48,6,4,192,0.2102580659637815,0.0009396006145866279,4096,0.8724370476391861,0.1286069382903076,0.5006134969325153,0.0499656855269178,0.036690205
46,5,48,2,4,256,0.12197084327549607,0.001150701314836699,1024,0.887131183739384,0.15023123345980927,0.5306748466257669,0.049775049565350005,0.04396778
47,1,16,3,4,256,0.10518745535427051,0.0017648992817930556,2048,0.8728472404801313,0.10635160342619909,0.4638036809815951,0.04976869503329775,0.09657804
48,5,48,2,8,192,0.018330305255010615,0.0013573901409491469,4096,0.8843048633144055,0.14608036897769766,0.5276073619631901,0.04976869503329775,0.043081492
49,2,64,3,4,64,0.06848769575412064,0.001141650447441221,8192,0.8781898055060968,0.13315307597591375,0.5116564417177915,0.04984494941792486,0.033812944
50,3,48,2,8,256,0.041117120835008805,0.0022321530322540373,1024,0.8805552430269341,0.14508090813708152,0.5159509202453988,0.049851303949977124,0.03069302
51,4,48,2,4,256,0.32312884333919933,0.0010655384841650032,1024,0.8869614319668985,0.14414569090994217,0.5263803680981595,0.04954628641146866,0.043672662
52,2,48,2,4,256,0.24922575314837464,0.0006840200079983385,1024,0.8813187497992279,0.13299981153664076,0.5042944785276073,0.049813176757663565,0.061320405
53,1,48,2,4,256,0.11032824658171306,0.0012371341905990706,1024,0.8772880408798353,0.1276818396292273,0.49693251533742333,0.049902140206395204,0.05491183
54,2,48,2,4,256,0.17732880194483386,0.0005765376133093959,1024,0.8761143334696244,0.13454801949918777,0.507361963190184,0.04999745818717909,0.034391858
55,1,32,2,4,192,0.29863216456048114,0.0003850736354401793,4096,0.6439576957359608,0.024763306816317974,0.20245398773006135,0.049864013014081644,0.01648267
56,1,48,3,8,256,0.35647067336252336,0.0008338706345053746,1024,0.8571077526694493,0.10025314173464814,0.47791411042944787,0.04995933099486554,0.059659712
57,1,48,5,4,64,0.1316397125625442,0.0014014418947079178,8192,0.845003049395688,0.10248817722369406,0.4601226993865031,0.04984494941792486,0.03373841
58,1,32,2,8,256,0.27185629199715544,0.0015962586917104195,1024,0.8744628880513902,0.11185425541409498,0.4736196319018405,0.04985765848202938,0.07589887
59,1,16,4,4,128,0.230974597792684,0.0010613680192153433,2048,0.6166155711609348,0.014826424186431519,0.07484662576687116,0.04994026739870876,0.013374916
60,1,48,2,8,64,0.32705909352721513,0.0017868713921319497,4096,0.8648525354816797,0.11099283601133905,0.45766871165644174,0.04999110365512684,0.055775635
61,1,64,5,4,192,0.08315472569197759,0.002720178963124146,8192,0.8014903424367659,0.0719158973922324,0.42392638036809815,0.049876722078186164,0.02216754
62,1,64,6,4,192,0.13770280131955726,0.0028725266903604427,8192,0.8338429044281498,0.09298316310382307,0.4460122699386503,0.0495399318794164,0.031443365
