trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,8,16,3,4,64,0.06710671047743548,0.0013313478826591496,2048,0.9407694184385562,0.4831621973882311,0.7255369928400954,0.04974998333222215,0.027046405
1,7,16,2,8,256,0.36811648340548353,0.0009688646312848546,2048,0.9373511714623456,0.46875706968710656,0.7088305489260143,0.04998999933328888,0.031479195
2,8,32,5,4,64,0.059025448299118335,0.0027011022953618317,2048,0.9441369460430218,0.4978098865000454,0.7362768496420048,0.049769984665644376,0.04808686
3,8,48,2,8,256,0.17983626976039027,0.0007046654630482572,4096,0.9423227041707315,0.4924581108696463,0.7243436754176611,0.049476631775451696,0.035386812
4,7,48,6,8,256,0.00856526122934902,0.0003327549924380707,2048,0.9435479787753551,0.49463753892607687,0.7285202863961814,0.04986999133275552,0.028900595
5,1,16,6,4,256,0.1327277489658139,0.0008275359587735584,2048,0.7830399632051843,0.0745962628357707,0.32398568019093077,0.0495233015534369,0.029389998
6,1,32,6,4,192,0.331653495945603,0.0015936901004462668,4096,0.90538434065851,0.2577113803958152,0.5930787589498807,0.049836655777051805,0.030656768
7,4,64,5,8,64,0.1982332380607771,0.0010944896380330497,1024,0.9441787487503145,0.49433065049115327,0.7326968973747017,0.04982332155477032,0.03508706
8,1,16,4,4,192,0.14717751840755403,0.00106381315841585,4096,0.7874224132841952,0.06179777708385874,0.3585918854415274,0.049956663777585175,0.028144227
9,7,64,6,8,128,0.06400033504620142,0.00039827583623759584,2048,0.9429875118166192,0.49451578341394153,0.7326968973747017,0.04992332822188146,0.052399702
10,1,32,4,4,64,0.28287870437852586,0.0026994598775412267,8192,0.8819971351312046,0.24094337553543568,0.5948687350835322,0.0499766651110074,0.012928581
11,1,64,5,8,64,0.2527710650913694,0.0029573049190600043,1024,0.9362059598722652,0.4584663228321034,0.7004773269689738,0.04984998999933329,0.034965757
12,2,32,5,8,64,0.2204898225330082,0.0019217315643475792,1024,0.9351644743698905,0.459863960281751,0.6927207637231504,0.04965664377625175,0.026546754
13,3,64,5,4,64,0.1028800905998248,0.0005678789695624131,1024,0.9442801656148596,0.4954832904004594,0.7231503579952268,0.049983332222148145,0.034345347
14,1,32,5,8,128,0.010710479938533489,0.002084370803574827,8192,0.826254942453602,0.08352744534723425,0.4307875894988067,0.04994999666644443,0.028066097
15,2,64,4,4,64,0.19509992879540222,0.000553221890806868,1024,0.9339878048353583,0.46531790158533415,0.6933174224343676,0.04999666644442963,0.029113404
16,1,64,3,4,64,0.3095925400217079,0.0014141687287147922,1024,0.9360559359486338,0.46279829205247386,0.6992840095465394,0.04981665444362957,0.04636895
17,1,32,5,8,64,0.06994769685401976,0.0020778223943314347,8192,0.8730898587352124,0.1468846457829875,0.5149164677804295,0.04999666644442963,0.087990455
18,2,48,3,8,128,0.3882533256697932,0.0011285562703877833,2048,0.9363056642121408,0.4619994637104639,0.6974940334128878,0.049889992666177746,0.02567282
19,2,64,5,4,192,0.2371800265104836,0.002455067001690898,1024,0.9292057935127258,0.46834672262340526,0.6933174224343676,0.049836655777051805,0.049735956
20,2,32,4,4,64,0.15291475533278442,0.001630364736977566,1024,0.9353273034431413,0.46341983149111543,0.6974940334128878,0.049769984665644376,0.025013888
21,4,64,6,8,128,0.051202824252925286,0.00031518636684702423,2048,0.9394250627050554,0.4754842969207659,0.7171837708830548,0.04965664377625175,0.028347306
22,2,64,6,8,128,0.10811537723542977,0.0005245678551847123,2048,0.9334082992167656,0.4732913033505476,0.6974940334128878,0.04985665711047403,0.04305319
23,8,64,6,8,128,0.042890213543619174,0.00040524899789930646,2048,0.9439634002648705,0.4971682835544574,0.7332935560859188,0.0497899859990666,0.028775796
24,1,64,5,8,128,0.033297003352501214,0.000793576269165068,2048,0.9343640033440576,0.4665408216359811,0.6939140811455847,0.04999666644442963,0.023546403
25,3,64,6,8,64,0.10617964374788197,0.000453757765847296,2048,0.9399708568478949,0.48122309831078863,0.7106205250596659,0.04994332955530369,0.02908925
26,1,32,5,8,128,0.1677748638271493,0.0006953244418096708,8192,0.7821146350090802,0.04167623976917176,0.26730310262529833,0.04996999799986666,0.036499165
27,1,48,4,8,192,0.0422736690639876,0.0012444844576916755,4096,0.9201331480969058,0.43485664857212847,0.6670644391408115,0.04996333088872591,0.023828994
28,1,64,5,4,64,0.08820751192676118,0.00039534001962110644,2048,0.9126310131097046,0.4366847354551678,0.6610978520286396,0.04989665977731849,0.04170951
29,1,16,6,4,64,0.0006859778026303831,0.0006584798948727899,2048,0.8851542091668482,0.3388441058619997,0.5984486873508353,0.04996999799986666,0.03218397
30,7,32,4,8,128,0.07938254356269073,0.001733760777600858,1024,0.9429312670168464,0.4920359779301223,0.7291169451073986,0.049316621108073874,0.020695386
31,2,64,6,8,128,0.12547236412908708,0.00041010895933260805,2048,0.9357764483423796,0.467119903678006,0.6963007159904535,0.049649976665111006,0.04197883
32,1,64,6,8,128,0.05852827759658678,0.0003643063353746509,2048,0.9190039916742262,0.42162061568842096,0.6575178997613366,0.04974998333222215,0.014348942
33,4,64,6,8,128,0.04103057476565998,0.0004736237801900833,2048,0.9414514428249074,0.4939782540041457,0.7267303102625299,0.04982332155477032,0.03559109
34,3,64,5,8,256,0.025918323515810346,0.0006189791260064478,2048,0.9379805690307755,0.4781186026764398,0.7058472553699284,0.04982998866591106,0.020569338
35,1,48,6,8,256,0.1919776152970529,0.0009208693895807936,2048,0.9243625211450055,0.43626452904387414,0.6539379474940334,0.049809987332488835,0.021992298
36,1,16,2,8,128,0.08491498138364001,0.00035933653203504333,2048,0.6663611046623474,0.01866494590805333,0.09367541766109785,0.049916661110740716,0.06349825
37,1,64,6,8,256,0.12891001357303744,0.0003019329488118785,4096,0.853554166936507,0.23725449863876358,0.568019093078759,0.049929995333022205,0.015574045
38,1,16,5,4,192,0.3302986437471609,0.0007813539402333263,2048,0.480927551096883,0.010606679614498436,0.04892601431980907,0.04958330555370358,0.01788476
39,1,32,6,8,64,0.272918219218001,0.0009363322278891279,4096,0.8724955231701206,0.22347148826989338,0.5781622911694511,0.04976331755450363,0.016840683
40,2,48,6,4,128,0.02102574533432014,0.0014053365943883153,2048,0.9395866188215253,0.4737224328594417,0.7082338902147971,0.04981665444362957,0.026311515
41,3,32,4,8,128,0.06810128660309561,0.0016805385904638123,1024,0.9398025461045056,0.4828234306666541,0.7100238663484487,0.049863324221614776,0.00616891
42,1,32,4,8,128,0.08278497978578095,0.0025123317486699464,1024,0.9368018190075043,0.4621810171934977,0.6939140811455847,0.049956663777585175,0.044622328
43,8,32,3,8,128,0.06240996864299633,0.00197401535812297,1024,0.9431722695594185,0.4989123182493088,0.7344868735083532,0.04989665977731849,0.02104892
44,6,32,2,8,128,0.05760108682910286,0.002327602698313158,1024,0.9444857342120342,0.49574277346219375,0.733890214797136,0.04987665844389626,0.060118057
45,6,32,2,8,64,0.1484697629039318,0.002939767948665488,1024,0.944859418631091,0.498123068961712,0.7326968973747017,0.04989665977731849,0.022150822
46,8,32,3,8,128,0.020194570492568086,0.0022453258189353096,1024,0.9444470482598601,0.49570979165578116,0.7398568019093079,0.049663310887392495,0.029396642
47,4,32,3,8,128,0.01111136474969663,0.0022527208140751373,1024,0.9432228795364401,0.48542085071106666,0.7261336515513126,0.049476631775451696,0.038276978
48,8,32,2,4,128,0.04454583183017574,0.0018506827988893967,1024,0.9457288242446075,0.4996521863158763,0.7350835322195705,0.04996999799986666,0.04000699
49,3,32,2,4,128,0.018328243738692292,0.0019944124229538617,1024,0.9383377348466032,0.48390536822218605,0.7189737470167065,0.04981665444362957,0.0336641
50,3,32,2,4,128,0.09709319274499062,0.0023524949736863604,1024,0.9408115115391145,0.48397130372722047,0.7118138424821002,0.049983332222148145,0.026828293
51,2,32,3,4,128,0.050753808374319434,0.001808238590852197,1024,0.9384170937569267,0.46904816827184354,0.7076372315035799,0.049983332222148145,0.0202213
52,2,32,2,4,128,0.03541139499972139,0.0026495547694353116,1024,0.9379417219700088,0.4717425132451313,0.7076372315035799,0.04941662777518501,0.044300478
53,3,32,3,4,128,0.05279840044899655,0.002188828780994047,1024,0.9412542319845985,0.48638848188873846,0.7183770883054893,0.0499766651110074,0.039343577
54,1,32,2,4,128,0.11820642531695022,0.0015129043551928873,8192,0.8322392733899047,0.13641593317215414,0.5011933174224343,0.04974998333222215,0.029175498
55,2,32,3,8,128,0.07515400014033197,0.0018652323945715255,1024,0.939860155354828,0.4886555749932436,0.7243436754176611,0.049956663777585175,0.039394133
56,2,32,2,8,192,0.0628260546338102,0.0029890304510321935,1024,0.9385251777326126,0.4728074074861246,0.7052505966587113,0.04996333088872591,0.046286438
57,1,32,3,4,128,0.00420303820797217,0.002518730162827089,1024,0.904195916163703,0.44270965840282955,0.6605011933174224,0.04994332955530369,0.016858019
58,3,32,3,8,256,0.02728443240383447,0.0027116541768122102,1024,0.9430252450402024,0.49286484314562323,0.7344868735083532,0.04985665711047403,0.03231326
59,2,32,3,4,256,0.025271390754401463,0.002738626062923018,1024,0.9386326471088526,0.4797130395342067,0.6939140811455847,0.04990999399959997,0.048055932
60,4,32,3,8,256,0.09180986619902501,0.0021077818963566135,1024,0.9422550723747535,0.4863618307927086,0.7243436754176611,0.0497899859990666,0.04091738
61,3,32,2,8,256,0.042387528420292905,0.002316607602092937,1024,0.9400890827089348,0.4775531822896004,0.7136038186157518,0.0499766651110074,0.03301399
62,2,32,3,8,256,0.0325354069817476,0.002698026775187878,1024,0.9409055671332742,0.4831156359659347,0.7237470167064439,0.04949663310887392,0.024409847
63,1,32,2,8,128,0.061568403392169284,0.002022575543539239,8192,0.868831442382555,0.21338576447730168,0.5477326968973747,0.049689979331955465,0.024419919
64,2,32,3,8,128,0.013983162721037655,0.0012412377422126473,1024,0.9263933745145461,0.4742569841970605,0.7016706443914081,0.049863324221614776,0.024940625
65,1,16,4,8,256,0.048019894957988474,0.002452595045460751,4096,0.905884025919946,0.18927077790419328,0.6127684964200477,0.04992332822188146,0.16773462
66,3,32,2,8,192,0.07065880068965998,0.001571918490938568,1024,0.943872019868946,0.49202784294311186,0.7344868735083532,0.049956663777585175,0.035948493
67,3,32,2,8,192,0.11529218790525986,0.0019458189976772173,1024,0.9407959854443757,0.4847971207085193,0.7159904534606205,0.049809987332488835,0.028166082
68,1,32,2,4,192,0.07244147690477382,0.0021728539237392008,1024,0.9349358911119134,0.4679042984514064,0.7136038186157518,0.049623308220548036,0.011717916
69,1,32,2,8,192,0.0009025808847729494,0.0014972536851670362,1024,0.9275172919244736,0.44597588093276896,0.6784009546539379,0.04993666244416294,0.016106645
70,3,32,3,8,192,0.2191708653155665,0.0017478688913621016,1024,0.9401006586596623,0.48939144229968545,0.7165871121718377,0.04948329888659244,0.035646927
71,3,32,2,8,128,0.033664921621241226,0.002796532504595096,1024,0.9438643861062497,0.49255673683947726,0.7261336515513126,0.04972331488765918,0.022860918
72,3,48,4,8,64,0.0560025049125534,0.001582989596860948,1024,0.9418089925167643,0.48566220366170576,0.7237470167064439,0.04975665044336289,0.014232651
73,1,32,3,8,128,0.023820637159231904,0.0023895934383785324,8192,0.8977792413686767,0.3499091487187952,0.6241050119331742,0.049476631775451696,0.017275412
74,1,32,2,8,192,0.046590558081701594,0.001028928775119647,2048,0.9201228252130096,0.4518910423219012,0.6694510739856802,0.04992332822188146,0.08554441
75,1,16,3,8,128,0.0965895910875333,0.0025795918883154694,1024,0.9179698336293224,0.43075694502417766,0.668854415274463,0.04964330955397026,0.037199024
76,1,32,2,8,64,0.07305256921301143,0.0019533325155440453,4096,0.9291690169957234,0.4546386302283526,0.6837708830548926,0.04986999133275552,0.04236974
77,1,48,4,4,256,0.06354107667662613,0.0018254307180975884,2048,0.9283452071029079,0.4463410795430916,0.6760143198090692,0.049636642442829525,0.04592707
78,3,32,5,8,128,0.03416360094401498,0.0022613297246681747,1024,0.9420924422009995,0.4883448635049191,0.7147971360381862,0.04932328821921461,0.07492204
79,3,32,2,8,128,0.01797909471008991,0.001252392119267556,2048,0.9419631316709898,0.48189576504527537,0.714200477326969,0.04996999799986666,0.028745761
80,1,64,3,4,64,0.1614714518687057,0.002840123037931476,1024,0.9253108918478415,0.4515701868200981,0.6718377088305489,0.04958330555370358,0.05030885
81,2,64,5,8,64,0.3126779969809895,0.0013352319530508707,1024,0.9373528084052063,0.48391376297178984,0.7124105011933174,0.049743316221081406,0.02432652
82,2,64,4,8,64,0.2466361531184853,0.0008826768296425307,1024,0.937223925509115,0.4749437015842068,0.7016706443914081,0.04987665844389626,0.013087718
83,1,64,5,8,64,0.35503526187252754,0.0020808425244318203,1024,0.934569645534046,0.45414404689945537,0.7040572792362768,0.049956663777585175,0.027393084
84,6,64,4,8,64,0.08125868324165735,0.0010841623295895044,1024,0.9444743293148739,0.48557926926700445,0.7321002386634845,0.049883325555037,0.045164842
