trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,1,64,4,4,128,0.24871979440963854,0.0010766813588407858,8192,0.7440047554482949,0.044703611150279474,0.30727923627684967,0.04990332688845923,0.018562669
0,2,64,4,4,128,0.24871979440963854,0.0010766813588407858,8192,0.9115150059327742,0.4254649938360913,0.6414081145584726,0.04989665977731849,0.023422731
0,3,64,4,4,128,0.24871979440963854,0.0010766813588407858,8192,0.9219788200677181,0.4657093439613164,0.6670644391408115,0.049929995333022205,0.018346772
0,4,64,4,4,128,0.24871979440963854,0.0010766813588407858,8192,0.925123723443138,0.47469952207314486,0.6754176610978521,0.04990999399959997,0.03163041
0,5,64,4,4,128,0.24871979440963854,0.0010766813588407858,8192,0.9302690585100264,0.4763762101457062,0.6861575178997613,0.049863324221614776,0.033687804
0,6,64,4,4,128,0.24871979440963854,0.0010766813588407858,8192,0.9304525273840849,0.47882875038506595,0.684964200477327,0.04969664644309621,0.015559986
0,7,64,4,4,128,0.24871979440963854,0.0010766813588407858,8192,0.9310373137843239,0.4836876741959547,0.6974940334128878,0.049889992666177746,0.02761013
0,8,64,4,4,128,0.24871979440963854,0.0010766813588407858,8192,0.9342150554667049,0.4874215067371934,0.6986873508353222,0.04992332822188146,0.035159636
1,1,64,2,8,256,0.05085952358827579,0.0008909835446214785,2048,0.9262925901504013,0.4712177275739408,0.6784009546539379,0.049916661110740716,0.022375396
1,2,64,2,8,256,0.05085952358827579,0.0008909835446214785,2048,0.928343653697836,0.4735529957064328,0.6760143198090692,0.049609973998266554,0.051162135
1,3,64,2,8,256,0.05085952358827579,0.0008909835446214785,2048,0.933577876949951,0.48414478171263176,0.6921241050119332,0.049929995333022205,0.035635535
1,4,64,2,8,256,0.05085952358827579,0.0008909835446214785,2048,0.9324092111311796,0.4907874358814155,0.6957040572792362,0.04938995933062204,0.021108393
1,5,64,2,8,256,0.05085952358827579,0.0008909835446214785,2048,0.9343870637517442,0.49737462129008964,0.7052505966587113,0.049863324221614776,0.05131437
1,6,64,2,8,256,0.05085952358827579,0.0008909835446214785,2048,0.9360980509281367,0.4967406875751663,0.7058472553699284,0.049916661110740716,0.028042655
1,7,64,2,8,256,0.05085952358827579,0.0008909835446214785,2048,0.9370599269068216,0.494629991647237,0.7040572792362768,0.049983332222148145,0.035241377
1,8,64,2,8,256,0.05085952358827579,0.0008909835446214785,2048,0.934990526814755,0.4967426606644642,0.7016706443914081,0.04974998333222215,0.018454278
2,1,32,2,8,128,0.283633018396846,0.0006379944649216867,1024,0.9199431871432637,0.4595492297948056,0.6676610978520287,0.04996999799986666,0.020327704
2,2,32,2,8,128,0.283633018396846,0.0006379944649216867,1024,0.9217825102421306,0.46979481932751416,0.6778042959427207,0.049883325555037,0.023794832
2,3,32,2,8,128,0.283633018396846,0.0006379944649216867,1024,0.9329081644424664,0.48243151298507136,0.6945107398568019,0.04989665977731849,0.02990266
2,4,32,2,8,128,0.283633018396846,0.0006379944649216867,1024,0.9331019780793659,0.48029417471603136,0.6915274463007159,0.04996333088872591,0.03318741
2,5,32,2,8,128,0.283633018396846,0.0006379944649216867,1024,0.9342718890089887,0.4879527016445938,0.7016706443914081,0.049649976665111006,0.021933224
2,6,32,2,8,128,0.283633018396846,0.0006379944649216867,1024,0.9303031459058289,0.488039898094494,0.7064439140811456,0.049743316221081406,0.02505993
2,7,32,2,8,128,0.283633018396846,0.0006379944649216867,1024,0.9355244864375207,0.48709962527814815,0.7028639618138425,0.0499766651110074,0.017746503
2,8,32,2,8,128,0.283633018396846,0.0006379944649216867,1024,0.9369994216798225,0.4866451295926844,0.7022673031026253,0.04987665844389626,0.027230173
3,1,16,5,8,192,0.37386763572156734,0.002477308731468999,1024,0.916370260006196,0.39944130837201275,0.6545346062052506,0.049916661110740716,0.010234885
3,2,16,5,8,192,0.37386763572156734,0.002477308731468999,1024,0.9236207632617035,0.458861024440411,0.6795942720763724,0.049863324221614776,0.03407828
3,3,16,5,8,192,0.37386763572156734,0.002477308731468999,1024,0.9306164165916551,0.46856657902949167,0.6897374701670644,0.049769984665644376,0.024944939
3,4,16,5,8,192,0.37386763572156734,0.002477308731468999,1024,0.9292862781942026,0.47609496478759716,0.6909307875894988,0.04970331355423695,0.032835033
3,5,16,5,8,192,0.37386763572156734,0.002477308731468999,1024,0.9289262561815975,0.4794391569342469,0.6885441527446301,0.04977665177678512,0.02524736
3,6,16,5,8,192,0.37386763572156734,0.002477308731468999,1024,0.9191157950705067,0.4521217263093678,0.6599045346062052,0.049956663777585175,0.009475991
3,7,16,5,8,192,0.37386763572156734,0.002477308731468999,1024,0.9321203792265547,0.4794282722193338,0.7034606205250596,0.04994999666644443,0.034709327
3,8,16,5,8,192,0.37386763572156734,0.002477308731468999,1024,0.9332730077788798,0.4822219883627915,0.7076372315035799,0.049983332222148145,0.015650598
4,1,64,2,8,192,0.24024283608056143,0.0020446341215630114,1024,0.9322079248401763,0.47716747109862684,0.6974940334128878,0.04989665977731849,0.04951306
