trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,1,16,2,8,256,0.25473496420533626,0.0026675248475494626,1024,0.8797890643131913,0.14435731117867506,0.5122393472348141,0.04982962071650303,0.044223543
0,2,16,2,8,256,0.25473496420533626,0.0026675248475494626,1024,0.8832520433839466,0.1519663138522191,0.5131459655485041,0.04994084754845951,0.05500953
0,3,16,2,8,256,0.25473496420533626,0.0026675248475494626,1024,0.886664643566132,0.15064332377077486,0.5349048050770625,0.04970828235436869,0.06135816
0,4,16,2,8,256,0.25473496420533626,0.0026675248475494626,1024,0.88748472716621,0.16095227247456034,0.5412511332728921,0.049738616944902274,0.0772325
0,5,16,2,8,256,0.25473496420533626,0.0026675248475494626,1024,0.88721540110538,0.1568751420426572,0.5349048050770625,0.049748728475080134,0.045086723
0,6,16,2,8,256,0.25473496420533626,0.0026675248475494626,1024,0.8870541024893515,0.16010948422447263,0.5367180417044425,0.04992062448810378,0.047371466
0,7,16,2,8,256,0.25473496420533626,0.0026675248475494626,1024,0.8877039585247217,0.15894610668227677,0.5475974614687217,0.04981950918632517,0.04725698
0,8,16,2,8,256,0.25473496420533626,0.0026675248475494626,1024,0.8881684884548555,0.1583740835750948,0.5421577515865821,0.04999140519934882,0.044743285
1,1,48,2,8,64,0.13719793535331806,0.0019805044088409738,1024,0.8806553098445574,0.1496555248137973,0.5185856754306437,0.049688059294012966,0.026369626
1,2,48,2,8,64,0.13719793535331806,0.0019805044088409738,1024,0.8861056583765351,0.15250683783535463,0.5095194922937444,0.04994084754845951,0.042348873
1,3,48,2,8,64,0.13719793535331806,0.0019805044088409738,1024,0.8857645936217732,0.15251133810311912,0.5312783318223028,0.04992062448810378,0.055483844
1,4,48,2,8,64,0.13719793535331806,0.0019805044088409738,1024,0.8878376635724498,0.15937765102574056,0.5203989120580236,0.04999140519934882,0.04972247
1,5,48,2,8,64,0.13719793535331806,0.0019805044088409738,1024,0.8874719250339403,0.15155421649233805,0.5321849501359928,0.04947571716027786,0.020861797
1,6,48,2,8,64,0.13719793535331806,0.0019805044088409738,1024,0.8875757859416014,0.15716203772532822,0.5258386219401632,0.0485656794442703,0.03699723
1,7,48,2,8,64,0.13719793535331806,0.0019805044088409738,1024,0.8865622769281163,0.1590797231947568,0.5321849501359928,0.04930382114725421,0.044763617
1,8,48,2,8,64,0.13719793535331806,0.0019805044088409738,1024,0.8870852438021477,0.16677328384757073,0.5167724388032638,0.04994084754845951,0.038327854
2,1,48,6,4,64,0.2882405428247529,0.0012866706713779788,8192,0.8664960140448879,0.11914703982347319,0.47053490480507704,0.049890289897570196,0.059253775
2,2,48,6,4,64,0.2882405428247529,0.0012866706713779788,8192,0.8822761798815,0.1399784638963938,0.5203989120580236,0.04993073601828164,0.05558964
2,3,48,6,4,64,0.2882405428247529,0.0012866706713779788,8192,0.885773137543918,0.15191874209988554,0.5194922937443336,0.04991051295792592,0.049295157
2,4,48,6,4,64,0.2882405428247529,0.0012866706713779788,8192,0.8882548123206033,0.15359570600359063,0.5258386219401632,0.04990040142774806,0.07415314
2,5,48,6,4,64,0.2882405428247529,0.0012866706713779788,8192,0.8859670946606344,0.15989594790628553,0.5131459655485041,0.049768951535435854,0.037496354
2,6,48,6,4,64,0.2882405428247529,0.0012866706713779788,8192,0.8885718450025082,0.16482297629874282,0.5213055303717135,0.04999140519934882,0.05539073
2,7,48,6,4,64,0.2882405428247529,0.0012866706713779788,8192,0.8896837420464861,0.16514036097164886,0.5321849501359928,0.049688059294012966,0.073876075
2,8,48,6,4,64,0.2882405428247529,0.0012866706713779788,8192,0.8880446061674044,0.16133186492970567,0.5231187669990934,0.049859955307036616,0.049922146
3,1,32,6,8,256,0.16288555140966554,0.0003042028250651745,2048,0.8725850345081406,0.12516487689396016,0.4814143245693563,0.04994084754845951,0.05728434
3,2,32,6,8,256,0.16288555140966554,0.0003042028250651745,2048,0.879653328708859,0.14092538782205774,0.5176790571169537,0.04994084754845951,0.05538694
3,3,32,6,8,256,0.16288555140966554,0.0003042028250651745,2048,0.8851803479413287,0.1519375602721405,0.5312783318223028,0.04977906306561372,0.04117943
3,4,32,6,8,256,0.16288555140966554,0.0003042028250651745,2048,0.8868163990244857,0.15805626616051385,0.5303717135086129,0.04993073601828164,0.033618517
3,5,32,6,8,256,0.16288555140966554,0.0003042028250651745,2048,0.8866624021616637,0.1607848895004353,0.5294650951949229,0.04992062448810378,0.032725144
3,6,32,6,8,256,0.16288555140966554,0.0003042028250651745,2048,0.8884920665878456,0.1626370199267041,0.5321849501359928,0.049890289897570196,0.049029853
3,7,32,6,8,256,0.16288555140966554,0.0003042028250651745,2048,0.8895443257718307,0.1660958270062254,0.5385312783318223,0.049566720931878624,0.030445235
3,8,32,6,8,256,0.16288555140966554,0.0003042028250651745,2048,0.888185049179485,0.1601738940451331,0.5312783318223028,0.04996107060881523,0.027021702
4,1,32,2,4,64,0.1646887063948067,0.0015389071611925632,1024,0.882674613589891,0.14927610052168333,0.5113327289211242,0.04962739011294579,0.049709823
4,2,32,2,4,64,0.1646887063948067,0.0015389071611925632,1024,0.8874615614030554,0.16291874730673117,0.527651858567543,0.0498093976561473,0.04893305
4,3,32,2,4,64,0.1646887063948067,0.0015389071611925632,1024,0.8881235961944014,0.1617443020612095,0.5312783318223028,0.04952627481116718,0.04327727
4,4,32,2,4,64,0.1646887063948067,0.0015389071611925632,1024,0.8858965018790074,0.16302738458080218,0.5267452402538532,0.04990040142774806,0.081237115
4,5,32,2,4,64,0.1646887063948067,0.0015389071611925632,1024,0.8862702067998601,0.1544063302897392,0.514959202175884,0.0498093976561473,0.06679786
4,6,32,2,4,64,0.1646887063948067,0.0015389071611925632,1024,0.8880589163202673,0.15805102493521675,0.5303717135086129,0.049880178367392336,0.04165029
4,7,32,2,4,64,0.1646887063948067,0.0015389071611925632,1024,0.8877717827822201,0.1530806875734344,0.5385312783318223,0.04969817082419083,0.041553292
4,8,32,2,4,64,0.1646887063948067,0.0015389071611925632,1024,0.8883079138968094,0.16224525157623226,0.543970988213962,0.0498093976561473,0.04939119
5,1,48,4,4,64,0.05151735532524393,0.001691953420530836,2048,0.8834272212898112,0.1414462650333855,0.5176790571169537,0.04977906306561372,0.045127444
5,2,48,4,4,64,0.05151735532524393,0.001691953420530836,2048,0.8869127931675684,0.153534426603036,0.5330915684496826,0.04999140519934882,0.048232216
5,3,48,4,4,64,0.05151735532524393,0.001691953420530836,2048,0.8869488435686785,0.153277003427072,0.5176790571169537,0.04960716705259007,0.038003564
5,4,48,4,4,64,0.05151735532524393,0.001691953420530836,2048,0.8881212356150534,0.1619565098235776,0.5376246600181324,0.049597055522412205,0.035564408
5,5,48,4,4,64,0.05151735532524393,0.001691953420530836,2048,0.8884562728710919,0.15957404622593468,0.5303717135086129,0.049243151966187046,0.035383843
