trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,1,64,6,4,256,0.3325009370653855,0.000905507596187116,8192,0.8644782962421842,0.11490842848103786,0.4877606527651859,0.04970828235436869,0.036774788
0,2,64,6,4,256,0.3325009370653855,0.000905507596187116,8192,0.87785089115904,0.12960765046322198,0.5086128739800544,0.04944538256974428,0.045317497
0,3,64,6,4,256,0.3325009370653855,0.000905507596187116,8192,0.882955916726131,0.13479071953343802,0.5222121486854034,0.04919259431529773,0.054232776
0,4,64,6,4,256,0.3325009370653855,0.000905507596187116,8192,0.8787666492692732,0.14302850414075907,0.5176790571169537,0.049859955307036616,0.045395315
0,5,64,6,4,256,0.3325009370653855,0.000905507596187116,8192,0.8832476384970467,0.1494477377044324,0.5176790571169537,0.04979928612596944,0.021651553
0,6,64,6,4,256,0.3325009370653855,0.000905507596187116,8192,0.883493922553251,0.14843152774012242,0.5213055303717135,0.04990040142774806,0.036136862
0,7,64,6,4,256,0.3325009370653855,0.000905507596187116,8192,0.8794101019466842,0.1522013130363944,0.5249320036264733,0.04982962071650303,0.0320541
0,8,64,6,4,256,0.3325009370653855,0.000905507596187116,8192,0.886980429495449,0.15447380482900358,0.5358114233907525,0.049768951535435854,0.03213591
1,1,48,4,8,128,0.10065252076430094,0.002110888398223864,2048,0.8812710635297357,0.1323199236512301,0.514052583862194,0.04886902534960615,0.024065752
1,2,48,4,8,128,0.10065252076430094,0.002110888398223864,2048,0.876627363921974,0.13593009007568868,0.4986400725294651,0.04949594022063359,0.025425555
1,3,48,4,8,128,0.10065252076430094,0.002110888398223864,2048,0.8790677904393346,0.1351992239302265,0.5131459655485041,0.049758840005257994,0.036283247
1,4,48,4,8,128,0.10065252076430094,0.002110888398223864,2048,0.885703566916067,0.1594223380104938,0.514959202175884,0.0498093976561473,0.03328751
1,5,48,4,8,128,0.10065252076430094,0.002110888398223864,2048,0.885416309619491,0.1566341738332188,0.527651858567543,0.04970828235436869,0.045708917
1,6,48,4,8,128,0.10065252076430094,0.002110888398223864,2048,0.8807400294330785,0.1597542346401772,0.5321849501359928,0.04995095907863737,0.045048073
1,7,48,4,8,128,0.10065252076430094,0.002110888398223864,2048,0.8838841652804872,0.15885039357891617,0.5294650951949229,0.04993073601828164,0.050772578
1,8,48,4,8,128,0.10065252076430094,0.002110888398223864,2048,0.8879255550462306,0.1584499451611306,0.528558476881233,0.049890289897570196,0.03425539
