trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,8,32,6,8,64,0.26848023402267046,0.00037617118911618605,4096,0.8770412032753914,0.1394209425770568,0.4732547597461469,0.049121813604052704,0.047011785
1,5,64,4,8,64,0.2038290806869191,0.0012034074498650429,4096,0.8799787173832907,0.1372899294524624,0.4904805077062557,0.04998129366917096,0.06122048
2,5,16,2,8,128,0.03375099573654703,0.00030796908971380464,2048,0.8793930324369912,0.14274154759115754,0.4904805077062557,0.04993073601828164,0.046539985
3,2,64,4,4,192,0.3291975132037732,0.0005555763906969222,1024,0.8790131258387448,0.1395373027473252,0.4959202175883953,0.04990040142774806,0.089355245
4,7,64,6,8,256,0.32684749123599127,0.0028251665796133712,1024,0.8777919408464301,0.13451763358997934,0.48050770625566636,0.04990040142774806,0.053593073
5,1,32,4,8,64,0.2617835747696872,0.0012597353739068767,8192,0.8447890293399478,0.08736351616125046,0.40072529465095197,0.04997118213899309,0.052539106
6,2,48,4,8,192,0.2932327668855039,0.0006501586157577823,2048,0.8771523842708557,0.13700699765381735,0.47234814143245696,0.049738616944902274,0.033897527
7,1,16,2,4,64,0.20597431376522546,0.0010248647054864031,4096,0.8156612403074269,0.06380682948976113,0.32456935630099726,0.04981950918632517,0.024870439
8,6,48,4,8,64,0.39877874383378026,0.0004970029427020272,1024,0.8804197836130708,0.14275396783839212,0.4968268359020852,0.04971839388454655,0.068728335
9,1,16,2,8,64,0.08159736874845583,0.0004084580324424732,1024,0.862662547775032,0.12024129095795727,0.43336355394378967,0.04919259431529773,0.040444538
10,1,48,5,4,128,0.38984614983400323,0.002298071990495242,8192,0.8575798445796391,0.10461019661373122,0.4252039891205802,0.049880178367392336,0.078205585
11,3,64,3,4,192,0.395212933091296,0.0006010033802258596,1024,0.8775047339699956,0.1406260450098511,0.4796010879419764,0.049890289897570196,0.052884724
12,4,48,5,4,192,0.3476282979759373,0.0005984557641861257,1024,0.8790597140494102,0.13887878442280843,0.485040797824116,0.04998129366917096,0.04428018
13,3,48,3,4,256,0.13735775990788157,0.0004850415835825992,1024,0.8777332976383176,0.14216146082873277,0.4841341795104261,0.04994084754845951,0.061784085
14,5,64,5,4,192,0.34356873408278027,0.0007921468198138107,1024,0.8808500736835363,0.1456947368017366,0.49501359927470534,0.04993073601828164,0.034451377
15,3,64,3,4,192,0.3998712024554745,0.0007861312473435604,1024,0.8803339593650878,0.13696362541667967,0.485947416137806,0.0495464978715229,0.117930956
16,1,48,5,8,256,0.3161821275795556,0.0004804464479754576,1024,0.8664287535762434,0.12810121599101024,0.4514959202175884,0.0498093976561473,0.044937853
17,1,32,3,4,128,0.23098984943912193,0.0003048210014323191,8192,0.7796777467249802,0.04313411329401505,0.257479601087942,0.04993073601828164,0.015996374
18,1,64,4,8,64,0.12935312707921034,0.0017524090105885775,2048,0.8700666905377007,0.11854208837921766,0.43880326382592927,0.04953638634134504,0.036291532
19,2,48,4,4,192,0.35879329851992453,0.0007586213626626115,1024,0.8781646602827007,0.14071542804746973,0.47506799637352676,0.04979928612596944,0.05805064
