trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,7,16,2,8,256,0.25473496420533626,0.0026675248475494626,1024,0.8877039585247217,0.15894610668227677,0.5475974614687217,0.04981950918632517,0.04725698
1,5,48,2,8,64,0.13719793535331806,0.0019805044088409738,1024,0.8874719250339403,0.15155421649233805,0.5321849501359928,0.04947571716027786,0.020861797
2,7,48,6,4,64,0.2882405428247529,0.0012866706713779788,8192,0.8896837420464861,0.16514036097164886,0.5321849501359928,0.049688059294012966,0.073876075
3,7,32,6,8,256,0.16288555140966554,0.0003042028250651745,2048,0.8895443257718307,0.1660958270062254,0.5385312783318223,0.049566720931878624,0.030445235
4,8,32,2,4,64,0.1646887063948067,0.0015389071611925632,1024,0.8883079138968094,0.16224525157623226,0.543970988213962,0.0498093976561473,0.04939119
5,6,48,4,4,64,0.05151735532524393,0.001691953420530836,2048,0.8867460766781627,0.15680025251849727,0.5394378966455122,0.04995095907863737,0.04097983
6,1,32,6,4,256,0.357085572779268,0.0004095587136531875,4096,0.8156013824322715,0.0636159877693088,0.34904805077062556,0.04997118213899309,0.0327828
7,1,32,2,8,192,0.16310321875133804,0.001759608416563017,8192,0.8581817006403843,0.11562765179807201,0.45965548504079784,0.04999140519934882,0.04736804
8,7,64,3,4,64,0.1220443581014922,0.001198105919398448,1024,0.8886157426110817,0.1643039871933828,0.5385312783318223,0.04994084754845951,0.03689083
9,1,48,3,4,256,0.3420204741044561,0.0004759164594146503,4096,0.8579909704127185,0.10297468858356201,0.4442429737080689,0.04982962071650303,0.084849745
10,3,16,4,8,128,0.2615666417819114,0.0025376057245071622,1024,0.8858655347448815,0.14976336788770483,0.528558476881233,0.04951616328098931,0.0493388
11,1,16,2,8,192,0.25243735567237846,0.0027724981758506196,1024,0.8841157449899957,0.14489967335474027,0.5049864007252947,0.049748728475080134,0.047721423
12,1,16,3,4,128,0.21559879885127325,0.0007520592722314949,1024,0.87220063135001,0.12761800532214407,0.4968268359020852,0.049890289897570196,0.06561032
13,2,64,2,8,256,0.07107144831530682,0.0008111367119793254,1024,0.8872414683184904,0.15468455608589243,0.5303717135086129,0.04991051295792592,0.039709285
14,2,32,4,4,64,0.0005753570830603072,0.001261840234906334,1024,0.8857745630588254,0.15005726755717277,0.5330915684496826,0.04992062448810378,0.06641442
15,1,16,3,8,256,0.3083086185078169,0.0029063481951305935,1024,0.8830723643345484,0.14369458623613987,0.5104261106074343,0.04945549409992214,0.08371416
16,1,32,5,4,192,0.2110939670865405,0.0021039903928952645,4096,0.8797739566053644,0.14675592121396724,0.5031731640979148,0.049688059294012966,0.029373271
17,1,16,2,8,128,0.39683593254798327,0.0015549511739012959,2048,0.8759402611530476,0.1374990348518526,0.49773345421577514,0.04997118213899309,0.06940709
18,1,64,5,8,64,0.23035097547201483,0.0009730247991445786,8192,0.8650831775114141,0.11639949938910409,0.47053490480507704,0.049890289897570196,0.06293605
19,2,16,3,4,256,0.16917912372328509,0.0022336134890305645,1024,0.8847362473357654,0.1513434850735318,0.5158658204895739,0.04997118213899309,0.05731574
