trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,8,64,6,4,256,0.3325009370653855,0.000905507596187116,8192,0.886980429495449,0.15447380482900358,0.5358114233907525,0.049768951535435854,0.03213591
1,6,48,4,8,128,0.10065252076430094,0.002110888398223864,2048,0.8807400294330785,0.1597542346401772,0.5321849501359928,0.04995095907863737,0.045048073
2,5,64,6,8,192,0.2562322170068567,0.0007328029904867856,1024,0.8832172672373193,0.15651594202816582,0.5330915684496826,0.04971839388454655,0.038016543
3,4,16,3,4,192,0.12369027057713233,0.002606579911809,1024,0.8850858239271273,0.15026890183379144,0.5339981867633726,0.049688059294012966,0.056918576
4,7,48,5,4,192,0.33142600988270504,0.0008730853265779807,8192,0.8713730030633171,0.11199445468894266,0.4904805077062557,0.04964761317330152,0.047806174
5,1,32,4,4,192,0.11088034317619107,0.0006080885110970543,1024,0.8739254952204409,0.12475163243656395,0.485947416137806,0.04998129366917096,0.07214994
6,1,48,2,4,64,0.23638417112037466,0.0006451480985717078,4096,0.8704905680829083,0.12918347525489277,0.48050770625566636,0.04992062448810378,0.047365814
7,3,64,3,8,256,0.021618694582849464,0.0009652521487967523,8192,0.8838112898415489,0.15378309415088923,0.5231187669990934,0.04991051295792592,0.039218463
8,1,32,5,8,192,0.33877883470964837,0.0003651742829575152,1024,0.8545377361802038,0.11297224092101138,0.4741613780598368,0.049870066837214476,0.03249306
9,1,64,5,8,64,0.16035745213160815,0.0003461118076869284,8192,0.7987551881294193,0.0595358354405271,0.3254759746146872,0.04990040142774806,0.026245391
10,1,16,6,4,256,0.30086078056025123,0.0015398006899207564,4096,0.5646660406807485,0.015132442595501915,0.09972801450589303,0.04953638634134504,0.009608986
11,5,16,2,4,256,0.1813503159326893,0.0028553827834984324,2048,0.8866059728561243,0.1615002218006772,0.5385312783318223,0.04982962071650303,0.044365793
12,1,16,2,4,256,0.38313304965159223,0.001346192564368055,2048,0.8242990539228836,0.0896100168358637,0.39619220308250225,0.049435271039566415,0.045218237
13,1,16,3,4,256,0.19808532569443235,0.0013314886585748728,2048,0.8468991535109136,0.09607860330520157,0.4215775158658205,0.04922292890583132,0.05550474
14,2,64,2,4,256,0.2619696631284849,0.0028137403768136744,2048,0.8738474127559895,0.1504631080762237,0.5104261106074343,0.04992062448810378,0.07003127
15,1,16,6,4,128,0.3910967295325358,0.0004635335115983217,8192,0.5779577983599722,0.013415296221001176,0.04895738893925657,0.04947571716027786,0.06172064
16,4,64,4,4,256,0.18773703416506968,0.0017438076370365917,2048,0.8846957874641063,0.14911398808405243,0.5267452402538532,0.049880178367392336,0.04455293
17,1,32,5,4,256,0.04656210578907702,0.0011375065452933412,8192,0.8422729359412745,0.08964700607247643,0.43245693563009974,0.04977906306561372,0.032746553
18,2,64,3,4,256,0.29216431571662954,0.0020284712856821156,4096,0.8839362217846711,0.14706349835911103,0.5158658204895739,0.04993073601828164,0.06508674
19,1,16,6,4,128,0.15197190615425546,0.0005369590003143419,2048,0.5547663759371031,0.013605524174886356,0.0815956482320943,0.049870066837214476,0.015524623
